stock,horizon,model,bootstrap,bias2,var,noise,mse,bias_share,var_share,noise_share
01a3aa0496884cba833aa60b1c67ae6c,1,garch,stationary,5.963979891722274e-06,1.5567966722307114e-07,0.0,6.116545965600888e-06,0.9750568254147624,0.02545221896452751,0.0
01a3aa0496884cba833aa60b1c67ae6c,5,garch,stationary,1.412513151134061e-05,1.3907340604239777e-08,0.0,1.4138760705132763e-05,0.9990360404227504,0.0009836322216834057,0.0
01a3aa0496884cba833aa60b1c67ae6c,10,garch,stationary,2.9422832255586798e-05,1.1648466901575825e-08,0.0,2.9434247753150338e-05,0.9996121695495914,0.00039574535755985453,0.0
01a3aa0496884cba833aa60b1c67ae6c,60,garch,stationary,0.0004084439350376165,9.526412979304272e-09,0.0,0.0004084532709223362,0.9999771433224206,2.3323140387130442e-05,0.0
0621bfa8cb8545a189878af2727f8178,1,garch,stationary,2.548376418087863e-06,1.5891949803966776e-06,0.0,4.105787498876606e-06,0.620679082584067,0.38706216062850324,0.0
0621bfa8cb8545a189878af2727f8178,5,garch,stationary,2.607668335429727e-06,2.9307803358591762e-08,0.0,2.636389982721147e-06,0.9891056909335639,0.011116641904526487,0.0
0621bfa8cb8545a189878af2727f8178,10,garch,stationary,4.4800967728737495e-06,6.991476521942228e-08,0.0,4.548613242788782e-06,0.984936844207703,0.015370567134997197,0.0
0621bfa8cb8545a189878af2727f8178,60,garch,stationary,9.046997988103912e-05,4.7519098313392756e-08,0.0,9.051654859738625e-05,0.999485522624661,0.000524976913611186,0.0
06b735024acc45cbb4c81392e6d040e0,1,garch,stationary,2.180791849737764e-06,1.8297263243510036e-07,0.0,2.360105029524162e-06,0.9240232203468712,0.07752732617666205,0.0
06b735024acc45cbb4c81392e6d040e0,5,garch,stationary,4.272424533999536e-06,4.2567058454431024e-08,0.0,4.3141402512848795e-06,0.9903304679830659,0.009866869405034591,0.0
06b735024acc45cbb4c81392e6d040e0,10,garch,stationary,8.17778954694215e-06,7.247482079427971e-08,0.0,8.248814871320543e-06,0.9913896328761925,0.008786088901844551,0.0
06b735024acc45cbb4c81392e6d040e0,60,garch,stationary,0.00010758086961192981,4.353555018369126e-08,0.0,0.00010762353445110984,0.9996035733318217,0.0004045170083451233,0.0
06bb948e2275475e92fd90735050657f,1,garch,stationary,8.637574918861994e-06,4.019227112782231e-08,0.0,8.676963344567262e-06,0.995460574841551,0.004632066488212966,0.0
06bb948e2275475e92fd90735050657f,5,garch,stationary,2.7318782417708654e-05,5.265521544199054e-08,0.0,2.7370384528841813e-05,0.9981146735049051,0.0019238025460148209,0.0
06bb948e2275475e92fd90735050657f,10,garch,stationary,6.137200570001657e-05,9.288380357186444e-09,0.0,6.138110831276661e-05,0.9998517033497725,0.00015132311247717504,0.0
06bb948e2275475e92fd90735050657f,60,garch,stationary,0.0005094076059167639,6.399763628180683e-09,0.0,0.0005094138776851196,0.999987688265612,1.2562994273462891e-05,0.0
09bbef3150f744b2979fcab0ebf9e001,1,garch,stationary,4.951943456507889e-06,2.603198585604343e-06,0.0,7.503078070400145e-06,0.6599882621564935,0.34695075290153715,0.0
09bbef3150f744b2979fcab0ebf9e001,5,garch,stationary,3.286549800696482e-06,6.038561213630865e-07,0.0,3.878328799632308e-06,0.847413917305843,0.15570008438179253,0.0
09bbef3150f744b2979fcab0ebf9e001,10,garch,stationary,4.10028498201614e-06,1.8011868286238701e-06,0.0,5.8654480740675326e-06,0.6990574173087344,0.3070842680523118,0.0
09bbef3150f744b2979fcab0ebf9e001,60,garch,stationary,6.0233397030080136e-05,1.4419537094391997e-05,0.0,7.43645433825843e-05,0.8099746773162654,0.19390339049360666,0.0
0bdf7ff7bb4847bab154eb59fd1345bd,1,garch,stationary,2.9681340862177605e-06,1.1674826152277117e-06,0.0,4.112267049140918e-06,0.7217756168918613,0.28390243174299856,0.0
