model,horizon,n_stocks,bias_share_mean,bias_share_median,bias_share_std,var_share_mean,var_share_median,var_share_std,noise_share_mean,noise_share_median,noise_share_std,bias2_mean,var_mean,noise_mean,mse_mean,bias2_share_from_means,var_share_from_means,noise_share_from_means
garch,1,112,0.8865397684900983,0.923978680239396,0.10807386447268495,0.11577574643867514,0.0775727752659224,0.11027945354355614,0.0,0.0,0.0,3.0401384745483784e-06,4.6682523522705436e-07,0.0,3.4976272050708917e-06,0.8692002595761944,0.13346912288143428,0.0
garch,5,112,0.9704482980698411,0.9891133084402395,0.061907874554059654,0.03015479788791716,0.01110886893853115,0.06317130056536699,0.0,0.0,0.0,4.9034755876084545e-06,1.5377566595135915e-07,0.0,5.0541757402407855e-06,0.970183040642518,0.030425468732124684,0.0
garch,10,112,0.9841762173624683,0.9954188773128911,0.03419405782843819,0.016146716977073167,0.004674614986845901,0.03489189574330428,0.0,0.0,0.0,9.645618987676812e-06,7.944623874783031e-08,0.0,9.723476301649685e-06,0.9919928519844633,0.008170559199527382,0.0
garch,60,112,0.9963989401834592,0.9997706392427578,0.019110479410608946,0.0036745508332048887,0.00023404158902240002,0.019500489194498923,0.0,0.0,0.0,0.00013541664540564423,2.92845851968156e-07,0.0,0.00013570363434057422,0.9978851787107651,0.0021579809073735143,0.0
gbm,1,112,0.9563690181953914,0.9589979358541703,0.018545147043752087,0.04452141000470259,0.04183884096513215,0.01892361943240014,0.0,0.0,0.0,1.215393835927439e-06,5.372928068036527e-08,0.0,1.2680485309941971e-06,0.9584758045297566,0.04237162803086056,0.0
gbm,5,112,0.9669021038770502,0.9705623058089454,0.01427722707900091,0.033773363390765046,0.03003846346025975,0.014568599060205004,0.0,0.0,0.0,1.3434543414908823e-06,4.750849471807245e-08,0.0,1.3900126663145934e-06,0.9665051075058522,0.034178461728722215,0.0
gbm,10,112,0.9646734926041107,0.9727592894640729,0.02883904755436704,0.03604745652641754,0.0277966434040072,0.0294275995452725,0.0,0.0,0.0,3.491126545217375e-06,1.3769160582141302e-07,0.0,3.62606431892236e-06,0.9627867125795806,0.03797274226573399,0.0
gbm,60,112,0.9655735582076549,0.9733765394945091,0.03873134499978411,0.03512902223708688,0.0271667964341746,0.0395217806120246,0.0,0.0,0.0,7.250940864745389e-07,4.131484330311498e-08,0.0,7.655826329115915e-07,0.9471140740444041,0.05396523056693472,0.0
har,1,112,0.9997193725685287,0.9997536016356591,0.00011062759946581071,0.00028635452190940806,0.00025142690238875,0.00011288530557737603,0.0,0.0,0.0,1.5185237923570558e-06,3.9276420919836545e-10,0.0,1.5189087012820703e-06,0.9997465885048327,0.0002585831583339036,0.0
har,5,112,0.9995550104035665,0.9996238674000374,0.0002364045632732304,0.0004540710167687937,0.00038380877547185,0.00024122914619718763,0.0,0.0,0.0,1.534810610772878e-06,6.430957969715671e-10,0.0,1.53544084465391e-06,0.9995895420632932,0.00041883462929274984,0.0
har,10,112,0.9986246236109328,0.9989299629873156,0.0011433334759889061,0.00140344529496644,0.00109187450273895,0.001166666812233585,0.0,0.0,0.0,3.6775913274997856e-06,4.6260515940500645e-09,0.0,3.6821248580619546e-06,0.9987687732662723,0.001256353809926189,0.0
har,60,112,0.9996834960020019,0.9997588175778963,0.00025463360306438433,0.00032296326326351044,0.0002461045123518,0.00025983020720856954,0.0,0.0,0.0,7.313836376521209e-07,1.9181687781802573e-10,0.0,7.315716181923825e-07,0.9997430456081304,0.00026219835905058765,0.0
