horizon,model,RMSE,RMSPE,CalSlope,CalIntercept
1,rolling,0.0015357063091049773,20997.221975446482,0.9782271068968266,2.1871277505877372e-05
1,har,0.0017897136835629272,22167.346968485454,0.3760701480056028,0.0006306821464420086
1,garch,0.0021068375735699978,41764.896154964656,0.12061084331321383,0.000782491658559602
1,gbm,0.0021312766121162298,35493.672814813,0.13451590473720987,0.0008215027192174573
5,har,0.0018098202997106545,3723.340802721402,1.014480650304959,-3.456699879953364e-05
5,rolling,0.002158616902278782,4679.220934630179,0.9101963878946893,0.00027366949845791214
5,gbm,0.002623366341450097,4325.389050630463,0.9266945762173862,0.00015795808132421847
5,garch,0.003585499281199488,3322.2454850782888,0.3610196386524346,0.0023404262717900246
10,rolling,0.0015987001696585572,0.5482480012658293,0.9740715381910497,0.00012340412860116325
10,har,0.0027885327583567765,0.7002446763817655,0.9916782848058897,4.1723015725861e-06
10,gbm,0.003881677685465491,1.1877153515220609,0.7088692655257829,0.0011840183949948658
10,garch,0.005084307488447524,0.6775585262228723,0.46486443796091514,0.0037857843410342125
60,har,0.0010187738314288363,0.08164033097872712,1.0058223448245467,-7.026658945130415e-05
60,rolling,0.0011369543976910872,0.09236688942447505,0.9963714813379969,4.9396643960665024e-05
60,gbm,0.005414382490596296,0.29648009728817615,1.1357421188860373,-0.0008355285287215424
60,garch,0.013432512901585557,0.7900828062318217,0.4263004194765797,0.012413012467337168
